Fertilizer_type,Median,Cmpny_ctgry
Minjingu rock phosphate,15750,Government
Minjingu 1100,25000,Government
SA (21:0:0),32000,Government
Mavuno â€“ top-dressing,41000,Domestic
CAN (26:0:0),41000,Domestic
Yaramilla sulfani,42000,Domestic
Yaramilla vitabo,44000,Domestic
Yarabella,47300,Domestic
Urea,51000,Domestic
Yara vera,54500,Domestic
TSP,55000,International
Yaravella-urea,55000,International
Yaramilla Amidas,55500,International
NPK (15:15:15),56000,International
NPK (18:14:12),56000,International
NPK (20:10:10),56000,International
NPK (17:17:17),57000,International
DAP,59000,International
Yaramilla cereal,61000,International
Yarajava,61000,International
MAP,62000,International
OCP (NPK),62000,International
Yaramilla otesha,62000,International
NPK (22:6:12),62500,International
Yaramilla winner,64000,International
Yaramilla tobacco,75000,International
